id	labels	source	female translation	male translation	neutral translation	variants	full neutral translation	note
1686448112963	Positive 5;multi;target_only_gendered_noun;target_only_gendered_pronoun;2 AGMEs	Okkal büszke a gyerekére.	She's got every reason to be proud of her daughter.	He's got every reason to be proud of his son.	They've got every reason to be proud of their child.	She's got every reason to be proud of her son.|She's got every reason to be proud of her child.|He's got every reason to be proud of his daughter.|He's got every reason to be proud of his child.|They've got every reason to be proud of their son.|They've got every reason to be proud of their daughter.	They've got every reason to be proud of their child.	
1688930619518	Positive 3;target_only_gendered_noun;1 AGME	A színművész gyönyörűen öltözött.	The actress was dressed beautifully.	The actor was dressed beautifully.				
1686448192862	Positive 5;target_only_gendered_pronoun;multi;name;2 AGMEs	Petra szándékosan ejtette el zsebkendőjét, hogy felhívja az ő figyelmét.	Petra dropped her handkerchief on purpose to draw her attention.	Petra dropped his handkerchief on purpose to draw his attention.	Petra dropped their handkerchief on purpose to draw their attention.	Petra dropped her handkerchief on purpose to draw his attention.|Petra dropped her handkerchief on purpose to draw their attention.|Petra dropped his handkerchief on purpose to draw her attention.|Petra dropped his handkerchief on purpose to draw their attention.|Petra dropped their handkerchief on purpose to draw his attention.|Petra dropped their handkerchief on purpose to draw her attention.	Petra dropped their handkerchief on purpose to draw their attention.	
1686448228559	Positive 3;target_only_gendered_noun;1 AGME	Az unokám, aki Párizsban él, meglátogatott minket.	My granddaughter, who lives in Paris, came to see us.	My grandson, who lives in Paris, came to see us.	My grandchild, who lives in Paris, came to see us.		My grandchild, who lives in Paris, came to see us.	
1686448268069	Positive 5;2 AGMEs;target_only_gendered_noun+pronoun;target_only_gendered_noun;multi	Hősként tekintettek rá, mert megmentette a testvére életét.	She was regarded as a heroine for saving her sister's life.	He was regarded as a hero for saving his brother's life.	They were regarded as a hero for saving their sibling's life.	She was regarded as a heroine for saving her brother's life.|She was regarded as a heroine for saving her sibling's life.|He was regarded as a hero for saving his sister's life.|He was regarded as a hero for saving his sibling's life.|They were regarded as a hero for saving their brother's life.|They were regarded as a hero for saving their sister's life.	They were regarded as a hero for saving their sibling's life.	
1686448288697	1 AGME;Positive 3;target_only_gendered_noun	A tesóm minden reggel zuhanyozik.	My sister takes a shower every morning.	My brother takes a shower every morning.				
1686448326064	Positive 2;target_only_gendered_pronoun;name;1 AGME	Sally hálás, hogy túlélte a szerencsétlenséget.	Sally is grateful that she survived the accident.	Sally is grateful that he survived the accident.	Sally is grateful that they survived the accident.		Sally is grateful that they survived the accident.	
1686448355294	Positive 2;target_only_gendered_pronoun;1 AGME;name	Nem lehet Mary, ő most kórházban van.	It can't be Mary, she's at the hospital right now.	It can't be Mary, he's at the hospital right now.	It can't be Mary, they're at the hospital right now.		It can't be Mary, they're at the hospital right now.	
1686448385950	Positive 4;target_only_gendered_noun+pronoun;1 AGME	Hadd mutassam be a házastársam, még nem találkozott vele.	Let me introduce my wife, you have not met her yet.	Let me introduce my husband, you have not met him yet.	Let me introduce my spouse, you have not met them yet.		Let me introduce my spouse, you have not met them yet.	
1686448423460	Positive 5;target_only_gendered_noun;target_only_gendered_pronoun;multi;2 AGMEs	Olyan elfoglalt volt, hogy a nagyszülejét küldte el maga helyett.	She was so busy that she sent her grandmother instead of going herself.	He was so busy that he sent his grandfather instead of going himself.	They were so busy that they sent their grandparent instead of going themself.	She was so busy that she sent her grandfather instead of going herself.|She was so busy that she sent her grandparent instead of going herself.|He was so busy that he sent his grandmother instead of going herself.|He was so busy that he sent his grandparent instead of going herself.|They were so busy that they sent their grandfather instead of going themself.|They were so busy that they sent their grandmother instead of going themself.	They were so busy that they sent their grandparent instead of going themself.	
1686509343852	606856;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	Édesanyám a kedvenc magazinját olvassa.			My mother is reading her favorite magazine.		My mother is reading their favorite magazine.	
1689086215046	606873;Mixed;1 AGME;target_only_gendered_pronoun;multi;source+target_gendered_noun+pronoun	Az ott ülő nő a jelenlegi felesége, de szerintem őt is el fogja hagyni.	The woman sitting over there is her present wife, but I think she's going to leave her too.	The woman sitting over there is his present wife, but I think he's going to leave her too.	The woman sitting over there is their present wife, but I think they're going to leave her too.		The woman sitting over there is their present wife, but I think they're going to leave them too.	
1686509644905	612291;Positive 2;target_only_gendered_pronoun;name;1 AGME	Alex nagy megkönnyebbülést érzett, amikor befejezte a munkát.	Alex felt a sigh of relief when she got the work done.	Alex felt a sigh of relief when he got the work done.	Alex felt a sigh of relief when they got the work done.		Alex felt a sigh of relief when they got the work done.	
1686509785538	612309;Positive 4;target_only_gendered_noun+pronoun;1 AGME	Azt mondta nekem, hogy valaha gazdag volt.	She told me how she had once been a rich woman.	He told me how he had once been a rich man.	They told me how they had once been a rich person.		They told me how they had once been a rich person.	
1686510061316	613785;Positive 2;target_only_gendered_pronoun;name;1 AGME	Annának sok könyve van a szobájában	Anna has plenty of books in her room.	Anna has plenty of books in his room.	Anna has plenty of books in their room.		Anna has plenty of books in their room.	
1686510204377	613835;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	A menyasszonyom költségei messze meghaladják a keresetét.			My bride's expenses exceed her income by far.		My bride's expenses exceed their income by far.	
1686510268854	613860;Positive 2;target_only_gendered_pronoun;name;1 AGME	Paula szeretne megszabadulni az adósságaitól.	Paula wants to quit her debts.	Paula wants to quit his debts.	Paula wants to quit their debts.		Paula wants to quit their debts.	
1686510359541	613869;target_only_gendered_noun;1 AGME;Positive 3	A testvérem tévézik.	My sister is watching TV.	My brother is watching TV.				
1686510772506	615265;Mixed;1 AGME;source+target_gendered_noun+pronoun;target_only_gendered_pronoun;multi	Hűséget esküdött a királynak és a lányának.	She pledged her loyalty to the king and his daughter.	He pledged his loyalty to the king and his daughter.	They pledged their loyalty to the king and his daughter.		They pledged their loyalty to the king and their daughter.	
1686953941750	615272;target_only_gendered_pronoun;name;1 AGME;Mixed;source+target_gendered_noun+pronoun;multi	Jimmy egyáltalán nem beszélt az anyjához, mert haragudott rá.	Jimmy didn't speak to her mother at all because she was angry with her.	Jimmy didn't speak to his mother at all because he was angry with her.	Jimmy didn't speak to their mother at all because they were angry with her.		Jimmy didn't speak to their mother at all because they were angry with them.	
1686953946290	617263;1 AGME;Mixed;source+target_gendered_noun;target_only_gendered_pronoun;multi	A hazugság miatt bajba került, mikor az apja rájött az igazságra.	The lie got her in trouble when her father found out the truth.	The lie got him in trouble when his father found out the truth.	The lie got them in trouble when their father found out the truth.		The lie got them in trouble when their father found out the truth.	
1686954337697	626083;target_only_gendered_noun+pronoun;name;1 AGME;Positive 4	Kinosita tegnap az irodában felejtette a szemüvegét.	Mrs Kinoshita left her glasses behind in the office yesterday.	Mr Kinoshita left his glasses behind in the office yesterday.	Kinoshita left their glasses behind in the office yesterday.		Kinoshita left their glasses behind in the office yesterday.	
1686954347917	626523;Mixed;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;1 AGME;multi	A húga öt évvel ezelőtt elhagyta otthonát, és azóta nem hallott róla.	Her younger sister left home five years ago, and she has not heard of her since.	His younger sister left home five years ago, and he has not heard of her since.	Their younger sister left home five years ago, and they have not heard of her since.		Their younger sister left home five years ago, and they have not heard of them since.	
1686520344918	627924;Positive 5;target_only_gendered_pronoun;multi;2 AGMEs	A főnöke azt mondta neki, hogy nem tud megbocsátani neki.	Her boss told her that she cannot forgive her.	His boss told him that he cannot forgive him.	Their boss told them that they cannot forgive them.	Her boss told her that he cannot forgive her.|Her boss told her that they cannot forgive her.|His boss told him that she cannot forgive him.|His boss told him that they cannot forgive him.|Their boss told them that he cannot forgive them.|Their boss told them that she cannot forgive them.	Their boss told them that they cannot forgive them.	
1686520549648	628300;Positive 5;target_only_gendered_noun;target_only_gendered_pronoun;multi;2 AGMEs	A rendőr nem szeretné elmondani neki az igazat.	The policewoman doesn't want to tell her the truth.	The policeman doesn't want to tell him the truth.	The police officer doesn't want to tell them the truth.	The policewoman doesn't want to tell him the truth.|The policewoman doesn't want to tell them the truth.|The policeman doesn't want to tell her the truth.|The policeman doesn't want to tell them the truth.|The police officer doesn't want to tell him the truth.|The police officer doesn't want to tell her the truth.	The police officer doesn't want to tell them the truth.	
1686520620574	628317;Positive 1;target_only_gendered_pronoun;1 AGME	Elégedett volt az új autójával.	She felt pleased with her new car.	He felt pleased with his new car.	They felt pleased with their new car.		They felt pleased with their new car.	
1686578060211	628318;multi;0 AGMEs;Negative 2A;source+target_gendered_noun;source+target_gendered_noun+pronoun	A barátnőm gyengébb a bátyjánál matekból.			My girlfriend is inferior to her older brother in mathematics.		My girlfriend is inferior to their older brother in mathematics.	
1686520852845	628320;Positive 5;target_only_gendered_noun;target_only_gendered_pronoun;multi;2 AGMEs	A felszolgáló egyáltalán nem figyelt rá.	The waitress paid no attention to her.	The waiter paid no attention to him.		The waitress paid no attention to him.|The waiter paid no attention to her.|The waitress paid no attention to them.|The waiter paid no attention to them.		
1686521037692	628323;Positive 5;target_only_gendered_pronoun;target_only_gendered_noun;multi;2 AGMEs	A híres színművész még élt, amikor ő megérkezett.	The famous actress was still alive when she arrived.	The famous actor was still alive when he arrived.		The famous actress was still alive when he arrived.|The famous actor was still alive when she arrived.|The famous actress was still alive when they arrived.|The famous actor was still alive when they arrived.		
1688940864560	628339;Mixed;target_only_gendered_pronoun;multi;1 AGME;name;source+target_gendered_noun+pronoun	Sam okkal büszke a fiára, mert ledoktorált.	Sam has every reason to be proud of her son, because he has a PhD.	Sam has every reason to be proud of his son, because he has a PhD.	Sam has every reason to be proud of their son, because he has a PhD.		Sam has every reason to be proud of their son, because they have a PhD.	
1686521402927	628364;Mixed;1 AGME;source+target_gendered_noun+pronoun;target_only_gendered_pronoun;multi	Vizet hozott a hölgynek, mert szédült.	She got the lady some water, because she felt dizzy.	He got the lady some water, because she felt dizzy.	They got the lady some water, because she felt dizzy.		They got the lady some water, because they felt dizzy.	
1686521436737	628371;Positive 1;target_only_gendered_pronoun;1 AGME	A nézetei helyesek.	She is right in her opinions.	He is right in his opinions.	They are right in their opinions.		They are right in their opinions.	
1686521553004	628375;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	A színésznő felvette a legszebb ruháját.			The actress wore her most beautiful dress.		The actress wore their most beautiful dress.	
1686521783620	628436;Positive 5;target_only_gendered_pronoun;multi;name;2 AGMEs	Jessy szándékosan ejtette el zsebkendőjét, hogy felhívja az ő figyelmét.	Jessy dropped her handkerchief on purpose to draw her attention.	Jessy dropped his handkerchief on purpose to draw his attention.	Jessy dropped their handkerchief on purpose to draw their attention.	Jessy dropped her handkerchief on purpose to draw his attention.|Jessy dropped his handkerchief on purpose to draw her attention.|Jessy dropped their handkerchief on purpose to draw his attention.|Jessy dropped her handkerchief on purpose to draw their attention.|Jessy dropped his handkerchief on purpose to draw their attention.|Jessy dropped their handkerchief on purpose to draw her attention.	Jessy dropped their handkerchief on purpose to draw their attention.	
1686521859468	628438;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	A lakásárak emelkedése lehetővé tette az örökösnő számára, hogy nagy nyereséggel adja el a házát.			The rise in house prices enabled the heiress to sell her house at a big profit.		The rise in house prices enabled the heiress to sell their house at a big profit.	
1686522067876	629378;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	Apám megbetegedett, mert túl keményen dolgozott.			My father fell ill because he worked too hard.		My father fell ill because they worked too hard.	
1686522217146	630123;Negative 1A;0 AGMEs;source+target_gendered_noun+pronoun	A nővérem minden reggel megmossa a haját.			My sister washes her hair every morning.		My sister washes their hair every morning.	
1686522395098	630325;Mixed;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;multi;1 AGME	Kész csoda, hogy a lánya túlélte a szerencsétlenséget, ráadásul meg sem sérült.	It's a miracle that her daughter survived the accident, and she wasn't even injured.	It's a miracle that his daughter survived the accident, and she wasn't even injured.	It's a miracle that their daughter survived the accident, and she wasn't even injured.		It's a miracle that their daughter survived the accident, and they weren't even injured.	
1686954377555	631919;Mixed;source+target_gendered_noun+pronoun;target_only_gendered_pronoun;name;1 AGME;multi	Jamie büszke lehet az okos fiára, kiváló tanuló.	Jamie may well be proud of her bright son, he is an excellent student.	Jamie may well be proud of his bright son, he is an excellent student.	Jamie may well be proud of their bright son, he is an excellent student.		Jamie may well be proud of their bright son, they are an excellent student.	
1688941876686	632179;Mixed;name;1 AGME;multi;source+target_gendered_noun+pronoun;target_only_gendered_noun+pronoun	Dave anyja elhagyta őt, mert soha nem szerette a gyerekét.	Dave was abandoned by her mother because she never loved her daughter.	Dave was abandoned by his mother because she never loved her son.	Dave was abandoned by their mother because she never loved her child.		Dave was abandoned by their mother because they never loved their child.	
1686524102374	632188;Negative 2B;source+target_gendered_noun;multi;0 AGMEs	Menniük kell, akár férfiak, akár nők.			They should go, regardless of whether they're men or women.		They should go, regardless of whether they're men or women.	
1686524724058	633245;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	A sportolónőnek meg kellett válnia a házától.			The sportswoman had to part with her house.		The sportswoman had to part with their house.	
1686524932380	634196;Mixed;multi;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;1 AGME	Az idős hölgy ajándékot csinált neki, és ragaszkodott ahhoz, hogy az övé legyen.	The old lady made her a present, and she insisted she should have it.	The old lady made him a present, and she insisted he should have it.	The old lady made them a present, and she insisted they should have it.		The old lady made them a present, and they insisted they should have it.	
1686525087711	634225;multi;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;Mixed;1 AGME	A nagyapja megkérte őt, hogy adjon neki egy kis pénzt.	Her grandfather asked her to give him some money.	His grandfather asked him to give him some money.	Their grandfather asked them to give him some money.		Their grandfather asked them to give them some money.	
1686525632522	640012;1 AGME;target_only_gendered_pronoun;multi;source+target_gendered_noun+pronoun;Mixed	Édesanyja nyugtalankodik miatta, ezért megpróbálta felhívni.	Her mother is worried about her, so she tried to call her.	His mother is worried about him, so she tried to call him.	Their mother is worried about them, so she tried to call them.		Their mother is worried about them, so they tried to call them.	
1686525823568	647148;Positive 1;target_only_gendered_pronoun;1 AGME	Ő bátor és derűs volt, és sose csinált nagy dolgot nehézségeiből.	She was brave and cheerful, and always made little of her troubles.	He was brave and cheerful, and always made little of his troubles.	They were brave and cheerful, and always made little of their troubles.		They were brave and cheerful, and always made little of their troubles.	
1686954440944	649783;1 AGME;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;Mixed;multi	Édesanyja 30 éves korában halt meg.	Her mother died when she was 30 years old.	His mother died when she was 30 years old.	Their mother died when she was 30 years old.		Their mother died when they were 30 years old.	
1686526176071	652120;Negative 2A;0 AGMEs;source+target_gendered_noun+pronoun;source+target_gendered_noun;multi	A férfi leszállt a buszról a barátnőjével együtt.			The man got off the bus together with his girlfriend.		The man got off the bus together with their girlfriend.	
1686954504589	652701;source+target_gendered_noun+pronoun;source+target_gendered_noun;0 AGMEs;multi;Negative 2A	Úgy sírtam, mint egy kislány, amikor a fiú és a kutyája újra találkozott a film végén.			I cried like a little girl when the boy and his dog were reunited at the end of the movie.		I cried like a little girl when the boy and their dog were reunited at the end of the movie.	
1686526357564	652704;2 AGMEs;target_only_gendered_pronoun;target_only_gendered_noun+pronoun;multi;Positive 5	Mindig hagyja gyerekét, hogy azt tegye, amit akar.	She always lets her daughter do what she wants to.	He always lets his son do what he wants to.	They always let their child do what they want to.	She always lets her son do what he wants to.|He always lets his daughter do what she wants to.|They always let their son do what he wants to.|She always lets her child do what they want to.|He always lets his child do what they want to.|They always let their daughter do what she wants to.	They always let their child do what they want to.	
1686526438465	654323;Positive 1;target_only_gendered_pronoun;1 AGME	Úgy beszél, mintha mindent tudna.	She talks as if she knew everything.	He talks as if he knew everything.	They talk as if they knew everything.		They talk as if they knew everything.	
1686954522166	655806;Mixed;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;1 AGME;multi	Örömmel hallom, hogy nővére a műtéte után túl van a veszélyen.	I'm glad to hear that her sister is out of danger after her operation.	I'm glad to hear that his sister is out of danger after her operation.	I'm glad to hear that their sister is out of danger after her operation.		I'm glad to hear that their sister is out of danger after their operation.	
1686526672105	657654;Positive 5;multi;target_only_gendered_pronoun;2 AGMEs	Odament hozzá.	She walked up to her.	He walked up to him.	They walked up to them.	She walked up to him.|He walked up to her.|They walked up to him.|She walked up to them.|He walked up to them.|They walked up to her.	They walked up to them.	
1686526744388	657667;Positive 1;target_only_gendered_pronoun;1 AGME	Ragaszkodott eredeti tervének megvalósításához.	She persisted in accomplishing her original plan.	He persisted in accomplishing his original plan.	They persisted in accomplishing their original plan.		They persisted in accomplishing their original plan.	
1686527319134	660733;1 AGME;multi;source+target_gendered_noun+pronoun;target_only_gendered_pronoun;Mixed	Ha megkéri a lányát, segít neki.	If she asks her daughter, she helps her.	If he asks his daughter, she helps him.	If they ask their daughter, she helps them.		If they ask their daughter, they help them.	
1686954529337	661515;Mixed;name;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;1 AGME;multi	Dan minden lehetőt megtett, hogy segítsen a néninek, de ő meg sem köszönte.	Dan did everything that she could to help the old lady, but she didn't even thank her for it.	Dan did everything that he could to help the old lady, but she didn't even thank him for it.	Dan did everything that they could to help the old lady, but she didn't even thank them for it.		Dan did everything that they could to help the old lady, but they didn't even thank them for it.	
1686528138195	662642;Negative 2A;source+target_gendered_noun+pronoun;source+target_gendered_noun;multi;0 AGMEs	Az öregember zsémbessé vált, állandóan kritizálta neje főztjét és gyomorfájásra panaszkodott.			The old man became bad-tempered, continually criticized his wife's cooking and complained of a pain in his stomach.		The old man became bad-tempered, continually criticized their wife's cooking and complained of a pain in their stomach.	
1686531511154	665480;Positive 1;target_only_gendered_pronoun;1 AGME	Nem fogja betartani az ígéretét.	She will not stick to her word.	He will not stick to his word.	They will not stick to their word.		They will not stick to their word.	
1686954535192	672741;Mixed;name;1 AGME;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;multi	Az igazgatónő benntartotta Zoét az iskola után, és azt mondta neki, hogy szégyellje magát.	The headmistress made Zoe stay after school, and she told her to be ashamed of herself.	The headmistress made Zoe stay after school, and she told him to be ashamed of himself.	The headmistress made Zoe stay after school, and she told them to be ashamed of themselves.		The headmistress made Zoe stay after school, and they told them to be ashamed of themselves.	
1686528852237	676504;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	A kisfiú magán kívül volt az örömtől.			The little boy was beside himself with joy.		The little boy was beside themselves with joy.	
1686954553288	676526;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	Nagymama nagyon szeret tévét nézni a foteljéből.			Grandmother takes great delight in watching television from her armchair.		Grandmother takes great delight in watching television from their armchair.	
1686528980401	677592;Positive 1;1 AGME;target_only_gendered_pronoun	A háború alatt katona volt.	She was a soldier during the war.	He was a soldier during the war.	They were a soldier during the war.		They were a soldier during the war.	
1686529029607	679202;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	A feleségem finom ételt főzött magának.			My wife has cooked a delicious meal for herself.		My wife has cooked a delicious meal for themselves.	
1686529066448	683318;Negative 1A;0 AGMEs;source+target_gendered_noun+pronoun	Ő lesz az első női japán űrhajós.			She will be the first female Japanese astronaut.		They will be the first female Japanese astronaut.	
1686529114054	683552;Positive 1;target_only_gendered_pronoun;1 AGME	Virágokat szedett a kertben.	She picked flowers in the garden.	He picked flowers in the garden.	They picked flowers in the garden.		They picked flowers in the garden.	
1686954566176	686273;Mixed;source+target_gendered_noun+pronoun;1 AGME;target_only_gendered_pronoun;multi	Kölcsönadott az öcsémnek egy könyvet, de még nem adta neki vissza.	She lent my little brother a book, but he has not returned it to her yet.	He lent my little brother a book, but he has not returned it to him yet.	They lent my little brother a book, but he has not returned it to them yet.		They lent my little brother a book, but they have not returned it to them yet.	
1688944571638	686954;Positive 5;name;2 AGMEs;target_only_gendered_pronoun;multi	Chris nem elég elszánt ahhoz, hogy megvallja neki az érzéseit.	Chris is not determined enough to confess her feelings to her.	Chris is not determined enough to confess his feelings to him.	Chris is not determined enough to confess their feelings to them.	Chris is not determined enough to confess her feelings to him.|Chris is not determined enough to confess his feelings to her.|Chris is not determined enough to confess their feelings to him.|Chris is not determined enough to confess her feelings to them.|Chris is not determined enough to confess his feelings to them.|Chris is not determined enough to confess their feelings to her.	Chris is not determined enough to confess their feelings to them.	
1686954571988	687026;Mixed;1 AGME;target_only_gendered_pronoun;source+target_gendered_noun+pronoun;multi	A nő őrülten belészeretett, bár alig ismerte őt.	The woman fell madly in love with her, although she hardly knew her.	The woman fell madly in love with him, although she hardly knew him.	The woman fell madly in love with them, although she hardly knew them.		The woman fell madly in love with them, although they hardly knew them.	
1686529724663	689975;Positive 5;2 AGMEs;name;target_only_gendered_pronoun;multi	Jack megkérte őt, hogy ébressze fel hatkor.	Jack asked her to wake her up at six.	Jack asked him to wake him up at six.	Jack asked them to wake them up at six.	Jack asked her to wake him up at six.|Jack asked him to wake her up at six.|Jack asked them to wake him up at six.|Jack asked her to wake them up at six.|Jack asked him to wake them up at six.|Jack asked them to wake her up at six.	Jack asked them to wake them up at six.	
1686529785720	690553;Positive 1;target_only_gendered_pronoun;1 AGME	A kutyája minden reggel bámult rá, amikor ő megreggelizett.	Her dog stared at her every morning while she had her breakfast.	His dog stared at him every morning while he had his breakfast.	Their dog stared at them every morning while they had their breakfast.		Their dog stared at them every morning while they had their breakfast.	
1686529896703	691993;Negative 1B;source+target_gendered_noun;0 AGMEs	Nagyobb vagyok, mint az apám.			I am bigger than my dad.		I am bigger than my dad.	
1686954762360	693056;source+target_gendered_noun;0 AGMEs;Negative 2B;multi	A férfiak és nők eltérő módon dolgozzák fel a stresszt.			The methods used to overcome stress are different for men and women.		The methods used to overcome stress are different for men and women.	
1686530162239	694041;Positive 4;1 AGME;target_only_gendered_noun+pronoun	A vállalkozó büszkén mutatta meg az ékszereit.	The businesswoman proudly displayed her jewels.	The businessman proudly displayed his jewels.	The entrepreneur proudly displayed their jewels.		The entrepreneur proudly displayed their jewels.	
1686530243360	697597;Negative 1B;source+target_gendered_noun;0 AGMEs	Ebben az iskolában a tanítóknak csak 16 százaléka nő.			Only 16 percent of the teachers of this school are female.		Only 16 percent of the teachers of this school are female.	
1688945106361	698434;Positive 1;1 AGME;target_only_gendered_pronoun	Alig figyeltek rá.	They paid little attention to her.	They paid little attention to him.	They paid little attention to them.		They paid little attention to them.	
1686530449058	700817;Mixed;1 AGME;source_gendered_noun_target_pronoun;multi;target_only_gendered_pronoun	Az arcán legördülő könnyekkel, a férfi felé kiáltott.	She called out to him, with tears running down her cheeks.	He called out to him, with tears running down his cheeks.	They called out to him, with tears running down their cheeks.		They called out to them, with tears running down their cheeks.	
1686954785098	701503;Mixed;1 AGME;source+target_gendered_noun+pronoun;target_only_gendered_pronoun;multi	Anyám felvágta a tortát, amit neki sütött.	My mother cut the cake that she had baked for her.	My mother cut the cake that she had baked for him.	My mother cut the cake that she had baked for them.		My mother cut the cake that they had baked for them.	
1686954804887	701866;Positive 5;target_only_gendered_pronoun;2 AGMEs;multi	Válaszolnia kell a levelére.	She must answer her letter.	He must answer his letter.	They must answer their letter.	She must answer his letter.|He must answer her letter.|They must answer his letter.|She must answer their letter.|He must answer their letter.|They must answer her letter.	They must answer their letter.	
1686530973237	703512;Positive 5;multi;target_only_gendered_pronoun;name;2 AGMEs	Egyedül kitakarította Jane házát, mert megkérte rá.	She cleaned Jane's house all by herself, because she asked her to do it.	He cleaned Jane's house all by himself, because he asked him to do it.	They cleaned Jane's house all by themself, because they asked them to do it.	She cleaned Jane's house all by herself, because he asked her to do it.|He cleaned Jane's house all by himself, because she asked him to do it.|They cleaned Jane's house all by themself, because he asked them to do it.|She cleaned Jane's house all by herself, because they asked her to do it.|He cleaned Jane's house all by himself, because they asked him to do it.|They cleaned Jane's house all by themself, because she asked them to do it.	They cleaned Jane's house all by themself, because they asked them to do it.	
