id	labels	source	female translation	male translation	neutral translation	variants	all gender neutral pronouns
1.68656E+12	354216;Mixed;source+target_gendered_noun;1 AGME;target_only_gendered_pronoun	Hänen miehensä suorittaa kolmen vuoden vankeustuomiota.	Her husband has been in prison for three years.	His husband has been in prison for three years.	Their husband has been in prison for three years.		Their husband has been in prison for three years.
1.68656E+12	354268;Mixed;1 AGME;source+target_gendered_noun;target_only_gendered_pronoun	Runoilija ilmaisi palavat tunteensa rakastamaansa naista kohtaan.	The poet expressed her burning passion for the woman she loved.	The poet expressed his burning passion for the woman he loved.	The poet expressed their burning passion for the woman they loved.		The poet expressed their burning passion for the woman they loved.
1.68556E+12	354271;Positive 1;1 AGME;target_only_gendered_pronoun	Minulla oli vaikeuksia löytää hänen taloaan.	I had some trouble in finding her house.	I had some trouble in finding his house.	I had some trouble in finding their house.		I had some trouble in finding their house.
1.68556E+12	354303;Positive 1;1 AGME;target_only_gendered_pronoun	Hän pitää hyytelöstä.	It is jelly that she likes.	It is jelly that he likes.	It is jelly that they like.		It is jelly that they like.
1.68556E+12	354310;Positive 1;1 AGME;target_only_gendered_pronoun	He pitivät häntä epäpätevänä tätä työtä varten.	They consider her unfit for the job.	They consider him unfit for the job.	They consider them unfit for the job.		They consider them unfit for the job.
1.68556E+12	354312;1 AGME;Positive 1;target_only_gendered_pronoun	Hän on tänään todella kiltti.	She is being very kind today.	He is being very kind today.	They are being very kind today.		They are being very kind today.
1.68556E+12	354315;1 AGME;Positive 1;target_only_gendered_pronoun	Tämän takia hän menestyi pop-laulajana.	This is the reason that she succeeded as a pop singer.	This is the reason that he succeeded as a pop singer.	This is the reason that they succeeded as a pop singer.		This is the reason that they succeeded as a pop singer.
1.68556E+12	354322;source+target_gendered_noun+pronoun;Negative 1A;0 AGMEs	Erehdyin pahoin pitäessäni häntä rehellisenä miehenä.			In believing him to be an honest man, I was seriously in error.		In believing them to be an honest man, I was seriously in error.
1.68556E+12	354458;Negative 1B;source+target_gendered_noun;0 AGMEs	Toivon, että olisin ollut kiltimpi sitä tyttöä kohtaan.			I wish I had treated the girl more kindly at that time.		I wish I had treated the girl more kindly at that time.
1.68556E+12	354462;1 AGME;Positive 1;target_only_gendered_pronoun	Hän asuu keskellä maaseutua.	She lives in rural seclusion.	He lives in rural seclusion.	They live in rural seclusion.		They live in rural seclusion.
1.68556E+12	354464;Positive 1;1 AGME;target_only_gendered_pronoun	Hänen ainoa huolensa on hänen lapsiensa hyvinvointi.	Her only care is the safety of her children.	His only care is the safety of his children.	Their only care is the safety of their children.		Their only care is the safety of their children.
1.68556E+12	354478;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei koskaan juo alkoholia.	She never drinks alcohol.	He never drinks alcohol.	They never drink alcohol.		They never drink alcohol.
1.68556E+12	354479;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on absolutisti.	She abstained from alcohol.	He abstained from alcohol.	They abstained from alcohol.		They abstained from alcohol.
1.68556E+12	354480;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on alkoholisti.	She is addicted to alcohol.	He is addicted to alcohol.	They are addicted to alcohol.		They are addicted to alcohol.
1.68556E+12	354711;Positive 1;1 AGME;target_only_gendered_pronoun	Hän haluaa samanlaisen kellon kuin sinulla.	She wants a watch like yours.	He wants a watch like yours.	They want a watch like yours.		They want a watch like yours.
1.68556E+12	354719;Negative 1B;source+target_gendered_noun;0 AGMEs	Muistan päivän jolloin pikkuveljeni syntyi.			I recall the day when the younger brother was born.		I recall the day when the younger brother was born.
1.68556E+12	354726;Positive 1;1 AGME;target_only_gendered_pronoun	Hän oli veden alla kolme minuuttia.	She was underwater for three minutes.	He was underwater for three minutes.	They were underwater for three minutes.		They were underwater for three minutes.
1.68656E+12	354735;source+target_gendered_noun;1 AGME;Mixed;target_only_gendered_pronoun	Hän valmisti pojalleen pienoismallilentokoneen.	She made a model airplane for her son.	He made a model airplane for his son.	They made a model airplane for their son.		They made a model airplane for their son.
1.68556E+12	354801;Positive 1;1 AGME;target_only_gendered_pronoun	Hän oli matkalla kouluun.	She was on her way to school.	He was on his way to school.	They were on their way to school.		They were on their way to school.
1.68556E+12	354837;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on vahva kuin härkä.	She is strong as a horse.	He is strong as a horse.	They are strong as a horse.		They are strong as a horse.
1.68556E+12	354854;Positive 1;1 AGME;target_only_gendered_pronoun	Kuinka yksinäiseltä ja voimattomalta hänestä tuntuukin sen jälkeen kun hän jäi yksin.	How lonely and helpless she must feel left all by herself!	How lonely and helpless he must feel left all by himself!	How lonely and helpless they must feel left all by themselves!		How lonely and helpless they must feel left all by themselves!
1.68556E+12	354859;source+target_gendered_noun;Negative 1B;0 AGMEs	Vanhin kahdesta tyttärestä on yliopistossa.			The older of the two daughters is in college.		The older of the two daughters is in college.
1.68556E+12	354862;Positive 1;1 AGME;target_only_gendered_pronoun	Hän työskentelee yhtä kovasti kuin hänen sisaruksensakin.	She works as hard as her siblings.	He works as hard as his siblings.	They work as hard as their siblings.		They work as hard as their siblings.
1.68556E+12	354864;Positive 1;1 AGME;target_only_gendered_pronoun	Hän oli hieman kiihtynyt.	She was somewhat excited.	He was somewhat excited.	They were somewhat excited.		They were somewhat excited.
1.68556E+12	354887;Positive 1;1 AGME;target_only_gendered_pronoun	Hän suositteli asiakkaalle sinistä kravattia.	She suggested that the customer buy a blue tie.	He suggested that the customer buy a blue tie.	They suggested that the customer buy a blue tie.		They suggested that the customer buy a blue tie.
1.68556E+12	355616;Positive 1;1 AGME;target_only_gendered_pronoun	Annoin hänelle lahjan kiitoksena hänen kiltteydestään.	I gave her a present in return for her kindness.	I gave him a present in return for his kindness.	I gave them a present in return for their kindness.		I gave them a present in return for their kindness.
1.68556E+12	355626;Positive 1;1 AGME;target_only_gendered_pronoun	Hän opiskelee yötä päivää.	She studies day and night.	He studies day and night.	They study day and night.		They study day and night.
1.68556E+12	355638;Positive 1;1 AGME;target_only_gendered_pronoun	Kukaan meistä ei ole eri mieltä hänen kanssaan.	None of us are against her idea.	None of us are against his idea.	None of us are against their idea.		None of us are against their idea.
1.68556E+12	355644;Positive 1;1 AGME;target_only_gendered_pronoun	Hän asuu Kiotossa.	She lives in Kyoto.	He lives in Kyoto.	They live in Kyoto.		They live in Kyoto.
1.68556E+12	355645;Negative 1A;0 AGMEs;source+target_gendered_noun+pronoun	Se poika on sairas vaikkei näytä siltä.			The boy is sick, though he doesn't appear so.		The boy is sick, though they don't appear so.
1.68656E+12	355647;1 AGME;target_only_gendered_pronoun;Mixed;source+target_gendered_noun	Hän piti huolta sairaasta aviomiehestään.	She attended to her sick husband.	He attended to his sick husband.	They attended to their sick husband.		They attended to their sick husband.
1.68556E+12	355648;Positive 1;1 AGME;target_only_gendered_pronoun	Hän piti minua kauan odotuksessa.	She kept me waiting for a long time.	He kept me waiting for a long time.	They kept me waiting for a long time.		They kept me waiting for a long time.
1.68556E+12	356253;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on vastuussa siitä luokasta.	She is in charge of the class.	He is in charge of the class.	They are in charge of the class.		They are in charge of the class.
1.68556E+12	356255;Positive 1;1 AGME;target_only_gendered_pronoun	Sinä soitit aina hänen kodistaan.	You always called me from her house.	You always called me from his house.	You always called me from their house.		You always called me from their house.
1.68556E+12	356269;Positive 1;1 AGME;target_only_gendered_pronoun	Hän päätti yrittää uudelleen.	She made up her mind to try again.	He made up his mind to try again.	They made up their mind to try again.		They made up their mind to try again.
1.68556E+12	356277;Positive 1;1 AGME;target_only_gendered_pronoun	Hän antaa kaikille tarkan diagnoosin.	She'll diagnose each person carefully.	He'll diagnose each person carefully.	They'll diagnose each person carefully.		They'll diagnose each person carefully.
1.68656E+12	356281;Mixed;source+target_gendered_noun;1 AGME;target_only_gendered_pronoun	Kirjailija omisti kirjansa siskolleen.	The author dedicated the book to her sister.	The author dedicated the book to his sister.	The author dedicated the book to their sister.		The author dedicated the book to their sister.
1.68556E+12	357659;Positive 1;1 AGME;target_only_gendered_pronoun	Hän piti lupauksensa.	She stuck to her promise.	He stuck to his promise.	They stuck to their promise.		They stuck to their promise.
1.68556E+12	357662;Positive 1;1 AGME;target_only_gendered_pronoun	Hän meni Nagoyaan työmatkalle.	She went to Nagoya on business.	He went to Nagoya on business.	They went to Nagoya on business.		They went to Nagoya on business.
1.68556E+12	357663;Positive 1;1 AGME;target_only_gendered_pronoun	Hän vei minut ystävällisesti autolla asemalle.	She kindly drove me to the station.	He kindly drove me to the station.	They kindly drove me to the station.		They kindly drove me to the station.
1.68556E+12	357664;Positive 1;1 AGME;target_only_gendered_pronoun	Ai niin, tiedätkö missä hän asuu tällä hetkellä?	Oh, by the way, do you know where she lives now?	Oh, by the way, do you know where he lives now?	Oh, by the way, do you know where they live now?		Oh, by the way, do you know where they live now?
1.68556E+12	357665;Positive 1;1 AGME;target_only_gendered_pronoun	Hän lukee dekkareita kuin transsissa.	She is absorbed in reading detective novels.	He is absorbed in reading detective novels.	They are absorbed in reading detective novels.		They are absorbed in reading detective novels.
1.68556E+12	357677;Positive 1;1 AGME;target_only_gendered_pronoun	Yritin pysäyttää hänet, mutta hän jätti minut jälkeensä.	I tried to stop her, but she left me behind.	I tried to stop him, but he left me behind.	I tried to stop them, but they left me behind.		I tried to stop them, but they left me behind.
1.68556E+12	357684;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei jakanut salaisuuttaan kanssani.	She did not let me in on her secret.	He did not let me in on his secret.	They did not let me in on their secret.		They did not let me in on their secret.
1.68556E+12	359377;source+target_gendered_noun;Negative 1B;0 AGMEs	Tyttärelläni on hammasraudat.			My daughter has braces.		My daughter has braces.
1.68656E+12	361518;Mixed;source+target_gendered_noun;1 AGME;target_only_gendered_pronoun	Hänen vaimonsa on erityisen lahjakas nainen.	Her wife is quite a talented woman.	His wife is quite a talented woman.	Their wife is quite a talented woman.		Their wife is quite a talented woman.
1.68556E+12	361533;Positive 1;1 AGME;target_only_gendered_pronoun	Hänen ideansa ovat kurrentteja.	Her ideas are up to date.	His ideas are up to date.	Their ideas are up to date.		Their ideas are up to date.
1.68556E+12	368199;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on minun ystäväni.	She is my friend.	He is my friend.	They are my friend.		They are my friend.
1.68556E+12	388191;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on tajuton.	She is unconscious.	He is unconscious.	They are unconscious.		They are unconscious.
1.68556E+12	388192;Positive 1;1 AGME;target_only_gendered_pronoun	Opin häneltä paljon.	I learned a lot from her.	I learned a lot from him.	I learned a lot from them.		I learned a lot from them.
1.68556E+12	388205;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ryösti minulta kukkaron.	She robbed me of my purse.	He robbed me of my purse.	They robbed me of my purse.		They robbed me of my purse.
1.68556E+12	388221;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	Isoisä istui tavanmukaisella paikallaan lähellä tulta.			Grandfather sat in his habitual place near the fire.		Grandfather sat in their habitual place near the fire.
1.68556E+12	388224;Negative 1B;0 AGMEs;source+target_gendered_noun	Nainen kurkotti veistä pöydältä.			The woman reached for the knife on the table.		The woman reached for the knife on the table.
1.68556E+12	388225;source+target_gendered_noun+pronoun;Negative 1A;0 AGMEs	Hän näyttää ensisilmäykseltä pelottavalta ehkä siksi että hänellä on parta, mutta todellisuudessa hän on lempeä mies.			Possibly because he's got a beard, he looks scary at first glance but he's really a kind man.		Possibly because they're got a beard, they look scary at first glance but they're really a kind man.
1.68556E+12	425849;Positive 1;1 AGME;target_only_gendered_pronoun	Hän tottui pian kylmään säähän.	She soon accustomed herself to cold weather.	He soon accustomed himself to cold weather.	They soon accustomed themselves to cold weather.		They soon accustomed themselves to cold weather.
1.68556E+12	440795;Positive 1;1 AGME;target_only_gendered_pronoun	Silmänisku oli hänen ainoa vastauksensa.	A wink was her only answer.	A wink was his only answer.	A wink was their only answer.		A wink was their only answer.
1.68556E+12	440814;Positive 1;1 AGME;target_only_gendered_pronoun	En tiedä hänestä mitään.	I know nothing about her.	I know nothing about him.	I know nothing about them.		I know nothing about them.
1.68556E+12	443123;Positive 1;1 AGME;target_only_gendered_pronoun	Hän sanoi kertovansa meille kokeen tulokset myöhemmin.	She said that she would let us know later about the results of the examination.	He said that he would let us know later about the results of the examination.	They said that they would let us know later about the results of the examination.		They said that they would let us know later about the results of the examination.
1.68556E+12	443130;Positive 1;1 AGME;target_only_gendered_pronoun	Hän pidätti hengitystään.	She held her breath.	He held his breath.	They held their breath.		They held their breath.
1.68556E+12	443136;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei opiskellut ollenkaan.	She didn't study at all.	He didn't study at all.	They didn't study at all.		They didn't study at all.
1.68556E+12	443141;multi;2 AGMEs;Positive 5;target_only_gendered_pronoun	Hän yritti puhua hänelle Intiasta silloin tällöin.	Sometimes she tried talking to her about India.	Sometimes he tried talking to him about India.	Sometimes they tried talking to them about India.	Sometimes she tried talking to him about India. | Sometimes she tried talking to them about India. | Sometimes he tried talking to her about India. | Sometimes he tried talking to them about India. | Sometimes they tried talking to her about India. | Sometimes they tried talking to him about India.	Sometimes they tried talking to them about India.
1.68556E+12	443143;Positive 1;1 AGME;target_only_gendered_pronoun	Kaikki mitä hän sanoi oli totta.	All she said was true.	All he said was true.	All they said was true.		All they said was true.
1.68556E+12	537318;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei tullutkaan eilen.	She failed to come yesterday.	He failed to come yesterday.	They failed to come yesterday.		They failed to come yesterday.
1.68556E+12	698148;Positive 1;1 AGME;target_only_gendered_pronoun	Hän menetti kaikkensa.	She lost her all.	He lost his all.	They lost their all.		They lost their all.
1.68556E+12	722566;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on erittäin vaikutusvaltainen lääketieteen maailmassa.	She's very influential in the world of medicine.	He's very influential in the world of medicine.	They're very influential in the world of medicine.		They're very influential in the world of medicine.
1.68566E+12	722580;target_only_gendered_pronoun;Positive 1;1 AGME	Hän lopetti tupakoimisen lääkärinsä neuvosta.	She stopped smoking on her doctor's advice.	He stopped smoking on his doctor's advice.	They stopped smoking on their doctor's advice.		They stopped smoking on their doctor's advice.
1.68556E+12	722585;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	Hän on viimeinen mies jolle haluan puhua.			He is the last man that I want to talk with.		They are the last man that I want to talk with.
1.68556E+12	722588;Positive 1;1 AGME;target_only_gendered_pronoun	Hän toimi oppaanani.	She acted as my guide.	He acted as my guide.	They acted as my guide.		They acted as my guide.
1.68556E+12	752690;Positive 1;1 AGME;target_only_gendered_pronoun	Hänellä on paljon rahaa.	She has a lot of money.	He has a lot of money.	They have a lot of money.		They have a lot of money.
1.68556E+12	752702;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on vapaa huomenna.	She will be free tomorrow.	He will be free tomorrow.	They will be free tomorrow.		They will be free tomorrow.
1.68556E+12	752854;source+target_gendered_noun;0 AGMEs;Negative 1B	Puistossa oli kaunis, mustatukkainen nainen.			There was a beautiful woman with black hair in the park.		There was a beautiful woman with black hair in the park.
1.68556E+12	752861;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on saattanut myöhästyä junasta.	She may have missed the train.	He may have missed the train.	They may have missed the train.		They may have missed the train.
1.68556E+12	752873;Positive 1;1 AGME;target_only_gendered_pronoun	Kuinka pitkään hän on asunut Lontoossa?	How long has she lived in London?	How long has he lived in London?	How long have they lived in London?		How long have they lived in London?
1.68556E+12	752878;Positive 1;1 AGME;target_only_gendered_pronoun	Hänellä ei ole kykyjä opettajaksi.	She has no capacity to be a teacher.	He has no capacity to be a teacher.	They have no capacity to be a teacher.		They have no capacity to be a teacher.
1.68556E+12	752883;0 AGMEs;target_only_pronoun;source+target_gendered_noun;Negative 2B	Nainen vaati, että mies kutsutaan juhliin.			She insisted that he be invited to the party.		They insisted that they be invited to the party.
1.68556E+12	752932;Positive 1;1 AGME;target_only_gendered_pronoun	Hän tulee vähä vähältä paremmaksi.	She is getting better bit by bit.	He is getting better bit by bit.	They are getting better bit by bit.		They are getting better bit by bit.
1.68656E+12	757355;source+target_gendered_noun+pronoun;0 AGMEs;Negative 2B;source+target_gendered_noun;Negative 1A	Jos mies sanoo suorat sanat metsässä eikä kukaan nainen kuule, onko hän silti väärässä?			If a man speaks his mind in a forest, and no woman hears him, is he still wrong?		If a man speaks their mind in a forest, and no woman hears them, are they still wrong?
1.68556E+12	779593;source+target_gendered_noun;Negative 1B;0 AGMEs	Äitini osti minulle uuden polkupyörän.			My mother bought me a new bicycle.		My mother bought me a new bicycle.
1.68556E+12	779596;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on kaivossa.	She's in the well.	He's in the well.	They're in the well.		They're in the well.
1.68556E+12	779602;source+target_gendered_noun;Negative 1B;0 AGMEs	Ole hyvä ja esittele minut söpölle tytölle.			Please introduce me to a cute girl.		Please introduce me to a cute girl.
1.68556E+12	779959;source+target_gendered_noun;target_only_pronoun;Negative 1B;0 AGMEs	Ymmärsin, mitä nainen sanoi.			I got what she was saying.		I got what they were saying.
1.68556E+12	798189;source+target_gendered_noun;target_only_pronoun;0 AGMEs;Negative 1A	Ehkä tyttö oli yllättynyt kuin sai kirjeeni.			She may have been surprised when she received my letter.		They may have been surprised when they received my letter.
1.68556E+12	798194;Positive 1;1 AGME;target_only_gendered_pronoun	Hän teki töitä koko eilispäivän.	She worked all day yesterday.	He worked all day yesterday.	They worked all day yesterday.		They worked all day yesterday.
1.68556E+12	801135;Negative 2A;source+target_gendered_noun+pronoun;0 AGMEs;multi	Poika ilmoitti, että hän antaisi ruusukimpun tytölle josta piti, juttelisi tämän kanssa ja kutsuisi tämän kahville.			The boy stated that he would give a bouquet of roses to the girl that he liked, talk with her, and invite her to have a coffee.		The boy stated that they would give a bouquet of roses to the girl that they liked, talk with them, and invite them to have a coffee.
1.68556E+12	805662;Positive 1;1 AGME;target_only_gendered_pronoun	Sunnuntaisin hän kävi usein kalassa.	She would often go fishing on Sunday.	He would often go fishing on Sunday.	They would often go fishing on Sunday.		They would often go fishing on Sunday.
1.68556E+12	812633;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei kyennyt tulemaan vakavan sairauden vuoksi.	She could not come because of her serious illness.	He could not come because of his serious illness.	They could not come because of their serious illness.		They could not come because of their serious illness.
1.68556E+12	812634;Positive 1;1 AGME;target_only_gendered_pronoun	On hyvät perusteet uskoa hänen sanomaansa.	There are good grounds for believing what she says.	There are good grounds for believing what he says.	There are good grounds for believing what they say.		There are good grounds for believing what they say.
1.68556E+12	812637;Positive 1;1 AGME;target_only_gendered_pronoun	Menin lentokentälle saattamaan häntä.	I went to the airport to see her off.	I went to the airport to see him off.	I went to the airport to see them off.		I went to the airport to see them off.
1.68556E+12	812641;Positive 1;1 AGME;target_only_gendered_pronoun	Hän satutti kyynerpäänsä kaatuessaan.	She hurt her elbow when she fell down.	He hurt his elbow when he fell down.	They hurt their elbow when they fell down.		They hurt their elbow when they fell down.
1.68656E+12	812647;source+target_gendered_noun+pronoun;0 AGMEs;Negative 2B;source+target_gendered_noun;Negative 1A	Nuori poika laittoi päälleen äitinsä takin.			The young boy pulled on his mother's coat.		The young boy pulled on their mother's coat.
1.68556E+12	812652;Positive 1;1 AGME;target_only_gendered_pronoun	Hän viipyi Lontoossa yli kuukauden.	She stayed in London over a month.	He stayed in London over a month.	They stayed in London over a month.		They stayed in London over a month.
1.68556E+12	812670;Positive 1;1 AGME;target_only_gendered_pronoun	Äkkiä hän menetti tajuntansa.	She suddenly lost consciousness.	He suddenly lost consciousness.	They suddenly lost consciousness.		They suddenly lost consciousness.
1.68566E+12	813106;Positive 1;1 AGME;target_only_gendered_pronoun	Hän näyttää olevan vaikeuksissa.	She seems to be in trouble.	He seems to be in trouble.	They seem to be in trouble.		They seem to be in trouble.
1.68556E+12	813107;Positive 1;1 AGME;target_only_gendered_pronoun	Hän pitää puhumisesta kaikkein eniten.	She likes talking best of all.	He likes talking best of all.	They like talking best of all.		They like talking best of all.
1.68556E+12	813112;Positive 5;multi;2 AGMEs;target_only_gendered_pronoun	Hän unohti ostaneensa hänelle lahjan.	She forgot that she bought her a present.	He forgot that he bought him a present.	They forgot that they bought them a present.	She forgot that she bought him a present. | She forgot that she bought them a present. | He forgot that he bought her a present. | He forgot that he bought them a present. | They forgot that they bought her a present. | They forgot that they bought him a present.	They forgot that they bought them a present.
1.68556E+12	813445;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei aluksi pitänyt hevosesta.	She didn't like the horse at first.	He didn't like the horse at first.	They didn't like the horse at first.		They didn't like the horse at first.
1.68556E+12	813457;Positive 1;1 AGME;target_only_gendered_pronoun	Hänellä on valkoinen kissa.	She has a white cat.	He has a white cat.	They have a white cat.		They have a white cat.
1.68556E+12	813468;Positive 1;1 AGME;target_only_gendered_pronoun	Montako kerrosta hänen talossaan on?	How many stories does her house have?	How many stories does his house have?	How many stories does their house have?		How many stories does their house have?
1.68556E+12	813469;source+target_gendered_noun;Negative 1B;0 AGMEs	Setäni takasi velkani.			My uncle guaranteed my debts.		My uncle guaranteed my debts.
1.68556E+12	814929;Positive 1;1 AGME;target_only_gendered_pronoun	Koska olin tavannut hänet kerran aikaisemmin, tunnistin hänet heti.	Since I had met her once before, I recognized her right away.	Since I had met him once before, I recognized him right away.	Since I had met them once before, I recognized them right away.		Since I had met them once before, I recognized them right away.
1.68556E+12	814932;Negative 1B;source+target_gendered_noun;0 AGMEs	Vaimoni antoi minulle merkin huoneen toiselta puolelta.			My wife gave me a sign from across the room.		My wife gave me a sign from across the room.
1.68566E+12	816235;Negative 1B;source+target_gendered_noun;0 AGMEs	Pidä tyttöjä silmällä, sillä he ovat huonoja uimareita.			Keep an eye on the girls, as they are poor swimmers.		Keep an eye on the girls, as they are poor swimmers.
1.68556E+12	816236;1 AGME;Positive 1;target_only_gendered_pronoun	Kerron hänelle siitä seuraavan kerran kun hän tulee.	I will tell her about it when she comes next time.	I will tell him about it when he comes next time.	I will tell them about it when they come next time.		I will tell them about it when they come next time.
1.68556E+12	816244;Positive 1;1 AGME;target_only_gendered_pronoun	Tiedätkö missä hän asuu?	Do you know where she lives?	Do you know where he lives?	Do you know where they live?		Do you know where they live?
1.68556E+12	816251;Positive 1;1 AGME;target_only_gendered_pronoun	Tämä CD on hänen.	This CD belongs to her.	This CD belongs to him.	This CD belongs to them.		This CD belongs to them.
1.68556E+12	816252;Negative 1B;0 AGMEs;source+target_gendered_noun	En tuntenut naista ollenkaan.			I didn't know the woman at all.		I didn't know the woman at all.
1.68556E+12	816258;Positive 1;1 AGME;target_only_gendered_pronoun	Hän osti itselleen koiran.	She bought herself a dog.	He bought himself a dog.	They bought themselves a dog.		They bought themselves a dog.
1.68556E+12	816259;Positive 1;1 AGME;target_only_gendered_pronoun	Minun täytyy auttaa häntä.	I must help her.	I must help him.	I must help them.		I must help them.
1.68556E+12	816261;Positive 1;1 AGME;target_only_gendered_pronoun	Hän ei ollut syönyt kahteen päivään.	She hadn't eaten in two days.	He hadn't eaten in two days.	They hadn't eaten in two days.		They hadn't eaten in two days.
1.68556E+12	816262;Positive 1;1 AGME;target_only_gendered_pronoun	Hän on hyvä jalkapallossa.	She is good at football.	He is good at football.	They are good at football.		They are good at football.
1.68556E+12	816264;Negative 1B;source+target_gendered_noun;0 AGMEs;non-AGME-name	Pianoa soittava tyttö on nimeltään Akiko.			The girl playing the piano is named Akiko.		The girl playing the piano is named Akiko.
1.68556E+12	816267;Positive 1;1 AGME;target_only_gendered_pronoun	Toivotaan että hän tulee.	Let's hope she comes.	Let's hope he comes.	Let's hope they come.		Let's hope they come.
1.68556E+12	823548;Positive 1;1 AGME;target_only_gendered_pronoun	Ehkä hän on kahvilassa kahvilla.	She might be having coffee in the cafeteria.	He might be having coffee in the cafeteria.	They might be having coffee in the cafeteria.		They might be having coffee in the cafeteria.
1.68556E+12	824366;Positive 1;1 AGME;target_only_gendered_pronoun	Hän keksi hyvän ratkaisun	She thought of a good solution.	He thought of a good solution.	They thought of a good solution.		They thought of a good solution.
1.68556E+12	824369;name;Positive 2;1 AGME;target_only_gendered_pronoun	Bill kiipesi menestyksen tikapuita kunnes hänestä tuli yrityksen johtaja.	Bill climbed the ladder of success until she became the president of the company.	Bill climbed the ladder of success until he became the president of the company.	Bill climbed the ladder of success until they became the president of the company.		Bill climbed the ladder of success until they became the president of the company.
1.68656E+12	824386;Mixed;source+target_gendered_noun+pronoun;target_only_gendered_noun;1 AGME	Vanhan miehen seurassa oli hänen lapsenlapsensa.	The old man was accompanied by his granddaughter.	The old man was accompanied by his grandson.	The old man was accompanied by his grandchild.		The old man was accompanied by their grandchild.
